Family,Intrafamilial_taxa,Genus,Species,Authority,Medullary_bundles,Source
Cactaceae,Cactoideae,Peniocereus,viperinus,(F.A.C.Weber) Buxb.,Absent,Franco-Estrada et al. (2021)
Cactaceae,Cactoideae,Peniocereus,zopilotensis,(J.Meyrán) Buxb.,Absent,Herrera-Cárdenas et al. (2000); Franco-Estrada et al. (2021)
Cactaceae,Cactoideae,Pilosocereus,aurisetus,(Werderm.) Byles & G.D.Rowley,Present,Godofredo & Melo-de-Pinna (2008)
Cactaceae,Cactoideae,Pilosocereus ,fulvilanatus,Buining & Brederoo,Present,Arruda & Melo-de-Pinna (2010)
Cactaceae,Cactoideae,Pilosocereus ,lanuginosus ,(L.) Byles & G.D.Rowley,Present,Mauseth (1996)
Cactaceae,Cactoideae,Pilosocereus ,moritzianus ,(Otto) Byles & G.D.Rowley,Present,Mauseth (1996)
Cactaceae,Cactoideae,Pilosocereus ,tillianus ,Gruber & Schatzl,Present,Mauseth (1996)
Cactaceae,Cactoideae,Polaskia,chende,(Rol.-Goss.) A.C.Gibson & K.E.Horak,Present,Gibson (1978)
Cactaceae,Cactoideae,Polaskia,chichipe,(Rol.-Goss.) Backeb.,Present,Franco-Estrada et al. (2021)
Cactaceae,Cactoideae,Polaskia,sp.,,Present,Gibson & Horak (1978)
Cactaceae,Cactoideae,Praecereus ,euchlorus subsp. diffusus, (Britton & Rose) N.P.Taylor,Present,Mauseth (1996); Mauseth et al. (1998)
Cactaceae,Cactoideae,Praecereus ,euchlorus subsp. smithianus,(Britton & Rose) N.P.Taylor,Present,Mauseth (1996); Mauseth et al. (1998)
Cactaceae,Cactoideae,Praecereus ,saxicola,(Morong) N.P.Taylor,Present,Mauseth et al. (1998)
Cactaceae,Cactoideae,Pseudoacanthocereus ,sicariguensis ,(Croizat & Tamayo) N.P.Taylor,Present,Mauseth et al. (1998)
Cactaceae,Cactoideae,Pseudorhipsalis ,ramulosa ,(Salm-Dyck) ,Absent,Martínez-Quezada et al. (2020)
Cactaceae,Cactoideae,Pterocereus,sp.,,Present,Gibson & Horak (1978)
Cactaceae,Cactoideae,Rapicactus,beguinii,(N.P.Taylor) Lüthy,Present,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Rapicactus,mandragora,(Frič ex A.Berger) Buxb. & Oehme,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Rapicactus,subterraneus,(Backeb.) Buxb. & Oehme,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Rapicactus,subterraneus subsp. booleanus ,(G.S.Hinton) Lüthy,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Rapicactus,zaragosae,(Glass & R.A.Foster) D.Donati,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Rebutia,mentosa,(F.Ritter) Donald,Present,Mauseth et al. (1995)
Cactaceae,Cactoideae,Rebutia,sp.,,Present,Mauseth (1993)
Cactaceae,Cactoideae,Rhipsalis,elliptica,G.Lindb. ex K.Schum.,Absent,Melo-de-Pinna et al. (2007); Lemos & Melo-de-Pinna (2011)
Cactaceae,Cactoideae,Rhipsalis,floccosa,Salm-Dyck ,Absent,Lemos & Melo-de-Pinna (2011); Melo-de-Pinna (2009)
Cactaceae,Cactoideae,Rhipsalis,sp.,,Absent,Mauseth (1993)
Cactaceae,Cactoideae,Sclerocactus,papyracanthus ,(Engelm.) N.P.Taylor,Absent,Boke (1957)
Cactaceae,Cactoideae,Selenicereus ,inermis,(Otto) Britton & Rose,Present,Mauseth (1993)
Cactaceae,Cactoideae,Selenicereus ,chontalensis,Alexander,Absent,Gibson & Horak (1978)
Cactaceae,Cactoideae,Selenicereus ,ocamponis,(Salm-Dyck) D.R.Hunt,Absent,"Aguilar et al., 2009"
Cactaceae,Cactoideae,Selenicereus ,purpusii,(Weing.) S.Arias & N.Korotkova,Absent,"Aguilar et al., 2009"
Cactaceae,Cactoideae,Selenicereus ,setaceus,(Salm-Dyck ex DC.) A.Berger ex Werderm.,Absent,Bastola et al. (2021)
Cactaceae,Cactoideae,Selenicereus ,undatus,(Haw.) D.R.Hunt,Absent,"Aguilar et al., 2009"
Cactaceae,Cactoideae,Selenicereus ,vagans,(K.Brandegee) Britton & Rose,Absent,Martínez-Quezada et al. (2020)
Cactaceae,Cactoideae,Stenocereus,alamosensis, (J.M.Coult.) A.C.Gibson & K.E.Horak,Present,Terrazas & Loza-Cornejo (2002)
Cactaceae,Cactoideae,Stenocereus,kerberi,(K.Schum.) A.C.Gibson & K.E.Horak,Present,Terrazas & Loza-Cornejo (2002)
Cactaceae,Cactoideae,Stenocereus,sp.,,Present,Mauseth (1993)
Cactaceae,Cactoideae,Stenocereus,queretaroensis,(F.A.C.Weber ex Mathsson) Buxb.,Present,Loza-Cornejo & Terrazas (2011)
Cactaceae,Cactoideae,Stenocereus,stellatus,(Pfeiff.) Riccob.,Present,Franco-Estrada et al. (2021)
Cactaceae,Cactoideae,Stephanocereus ,leucostele ,(Gürke) A.Berger,Present,Soffiatti & Angyalossy (2007)
Cactaceae,Cactoideae,Stephanocereus ,luetzelburgii ,(Vaupel) N.P. Taylor & Eggli,Present,Soffiatti & Angyalossy (2007)
Cactaceae,Cactoideae,Strombocactus ,disciformis,(DC.) Britton & Rose,Absent,Mauseth (2006)
Cactaceae,Cactoideae,Subpilocereus,ottonis,Backeb.,Present,Mauseth (1996)
Cactaceae,Cactoideae,Subpilocereus,repandus ,(L.) Backeb.,Present,Mauseth (1996)
Cactaceae,Cactoideae,Subpilocereus ,russelianus,(Rümpler) Backeb.,Present,"Mauseth (1993, 1996)"
Cactaceae,Cactoideae,Sulcorebutia,sp.,,Present,Mauseth (1993)
Cactaceae,Cactoideae,Thelocactus_sp,,,Absent,Vázquez-Sánchez et al. (2017)
Cactaceae,Cactoideae,Turbinicarpus,alonsoi,Glass & S.Arias,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,bonatzii,"	G. Frank",Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,gielsdorfianus,(Werderm.) John & Říha,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,graminispinus,"Matusz., Myák & Jirue",Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,jauernigii,G.Frank,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,laui,Glass & R.A.Foster,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,lophophoroides,(Werderm.) Buxb. & Backeb.,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,macrochele,(Werderm.) Buxb. & Backeb.,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,papyrachanthus,(Backeb.) Buxb. & Backeb.,Absent,Boke (1957)
Cactaceae,Cactoideae,Turbinicarpus,rioverdensis,G.Frank,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,roseiflorus,Backeb.,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,saueri,(Boed.) V.John & Ríha,Present,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,schmiedickeanus,(Boed.) Buxb. & Backeb.,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,swobodae,Diers,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,valdeziana ,(H.Moeller) Glass & R.A.Foster,Absent,Boke (1959); Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Turbinicarpus,viereckii,(Werderm.) V.John & Ríha,Absent,Rosa-Tilapa et al. (2019)
Cactaceae,Cactoideae,Trichocereus,chiloensis,(Colla) Britton & Rose,Present,Mauseth (1993)
Cactaceae,Cactoideae,Uebelmannia,sp.,,Present,Mauseth (1993)
Cactaceae,Cactoideae,Vatricania ,guentheri ,(Kupper) Backeb.,Present,Mauseth (1999)
Cactaceae,Cactoideae,Weingartia,sp.,,Present,Mauseth (1993)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,bleo ,(Kunth) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,guamacho ,(F.A.C.Weber) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,lychnidiflora,(DC.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,portulacifolia ,(L.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,zinniiflora ,(DC.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Maihuenioideae,Maihueniopsis,clavarioides,(Otto ex Pfeiff.) E.F.Anderson,Absent,Mauseth (2005)
Cactaceae,Maihuenioideae,Maihueniopsis,darwinii,(Hensl.) F.Ritter,Absent,Mauseth (2005)
Cactaceae,Maihuenioideae,Maihueniopsis,glomerata,(Haw.) R.Kiesling,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Airampoa ,corrugata ,(Salm-Dyck) Doweld,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Austrocylindropuntia,cylindrica,(Lam.) Backeb.,Absent,Boke (1941)
Cactaceae,Opuntioideae,Austrocylindropuntia,flocosa,(Salm-Dyck) F.Ritter,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Austrocylindropuntia,pachypus,(K.Schum.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Austrocylindropuntia,shaferi,(Britton & Rose) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Austrocylindropuntia,subulata,(Muehlenpf.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Austrocylindropuntia,vestita,(Salm-Dyck) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Brasiliopuntia ,brasiliensis,(Willd.) A.Berger,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Consolea,moniliformis,(L.) A.Berger,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Corynopuntia  ,grahamii,(Engelm.) F.M.Knuth,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cumulopuntia,boliviana,(Salm-Dyck) F.Ritter,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cumulopuntia,sphaerica,(C.F.Först.) E.F.Anderson,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cumulopuntia ,subterranea,(R.E.Fr.) F.Ritter,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cylindropuntia,arbuscula,(Engelm.) F.M.Knuth,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Cylindropuntia,bigelovii,(Engelm.) F.M.Knuth,Absent,Mauseth (2005); Mylo et al. (2021)
Cactaceae,Opuntioideae,Cylindropuntia,echinocarpa,(Engelm. & J.M.Bigelow) F.M.Knuth,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cylindropuntia,fulgida,(Engelm.) F.M.Knuth,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Cylindropuntia,ganderi,(C.B.Wolf) Rebman & Pinkava,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cylindropuntia,imbricata,(Haw.) F.M.Knuth,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Cylindropuntia,kleiniae,(DC.) F.M.Knuth,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Cylindropuntia,leptocaulis,(DC.) F.M.Knuth,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Cylindropuntia,parryi,(Engelm.) F.M.Knuth,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Cylindropuntia,ramosissima,(Engelm.) F.M.Knuth,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Grusonia ,bradtiana,(J.M.Coult.) Britton & Rose,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Grusonia ,marenae,(S.H.Parsons) E.F.Anderson,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Opuntia,auberi,Pfeiff.,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,basilaris,Engelm. & J.M.Bigelow,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,engelmannii,Salm-Dyck ex Engelm.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,ficus-indica,(L.) Mill.,Absent,Mylo et al. (2021)
Cactaceae,Opuntioideae,Opuntia ,karwinskiana,Salm-Dyck,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,longispina,Pfeiff.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia,microdasys,(Lehm.) Pfeiff.,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Opuntia ,monacantha ,Haw.,Absent,Arruda & Melo-de-Pinna (2010)
Cactaceae,Opuntioideae,Opuntia ,penicilligera,Speg.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,phaeacantha,Engelm.,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia,pumila,Rose,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Opuntia ,quimilo,K.Schum.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,rufida,Engelm.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,sulphurea,G.Don ex Salm-Dyck,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Opuntia ,tomentosa,Salm-Dyck,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Pereskiopsis,aquosa,(Web.) Britton & Rose,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Pereskiopsis,diguetii,(F.A.C.Weber) Britton & Rose,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Pereskiopsis,porteri,(K. Brand.) Britton & Rose,Absent,Gibson (1976)
Cactaceae,Opuntioideae,Pereskiopsis,rotundifolia,(DC.) Britton & Rose,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Pterocactus,araucanus,Castell.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Pterocactus,fischeri,Britton & Rose,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Pterocactus,tuberosus,(Pfeiff.) Britton & Rose,Absent,Gibson (1976); Mauseth (2005)
Cactaceae,Opuntioideae,Pterocactus,valentini,Speg.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Quiabentia,verticillata,(Vaupel) Borg,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tacinga ,funalis,Britton & Rose,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tacinga ,inamoena ,(K. Schum.) N.P.Taylor & Stuppy,Absent,Arruda et al. (2005)
Cactaceae,Opuntioideae,Tacinga ,palmadora ,(Britton & Rose) N.P.Taylor & Stuppy,Absent,Arruda et al. (2005)
Cactaceae,Opuntioideae,Tephrocactus,aoracanthus,(Lem.) Lem.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,articulatus,(Pfeiff.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,atroviridis,(Werderm. & Backeb.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,bonnieae,(D.J.Ferguson & R.Kiesling) Stuppy,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,geometricus,(A.Cast.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,molinensis,(Speg.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,nigrispina,(K.Schum.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,verschaffeltii,(Cels ex F.A.C.Weber) D.R.Hunt & Ritz,Absent,Mauseth (2005)
Cactaceae,Opuntioideae,Tephrocactus,weberi,(Speg.) Backeb.,Absent,Mauseth (2005)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,bleo ,(Kunth) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,guamacho ,(F.A.C.Weber) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,lychnidiflora,(DC.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,portulacifolia ,(L.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Leuenbergerioideae,Leuenbergeria ,zinniiflora ,(DC.) Lodé,Absent,Mauseth & Landrum (1997)
Cactaceae,Pereskioideae,Maihuenia ,patagonica ,(Phil.) Speg.,Absent,Gibson (1976); Mauseth (1999)
Cactaceae,Pereskioideae,Pereskia,aculeata,Mill.,Absent,Gibson (1976); Mauseth & Landrum (1997); Duarte & Hayashi (2005)
Cactaceae,Pereskioideae,Pereskia,bahiensis,Gurke,Absent,Arruda & Melo-de-Pinna (2010)
Cactaceae,Pereskioideae,Pereskia,cubensis,Britton & Rose,Absent,Gibson (1976)
Cactaceae,Pereskioideae,Pereskia,diaz-romeroana ,Cárd.,Absent,Gibson (1976); Mauseth & Landrum (1997)
Cactaceae,Pereskioideae,Pereskia,grandifolia,Haw.,Absent,Gibson (1976)
Cactaceae,Pereskioideae,Pereskia,humboldtii,Britton & Rose,Absent,Gibson (1976); Mauseth & Landrum (1997)
Cactaceae,Pereskioideae,Pereskia,nemorosa,(Rojas Acosta) I.Asai & K.Miyata,Absent,Mauseth & Landrum (1997)
Cactaceae,Pereskioideae,Pereskia,pititache,Karw.,Absent,Gibson (1976)
Cactaceae,Pereskioideae,Pereskia,sacharosa,Griseb.,Absent,Gibson (1976); Gibson & Nobel (1986); Mauseth & Landrum (1997)
Cactaceae,Pereskioideae,Pereskia,sp.,,Absent,Mauseth (1993)
Cactaceae,Pereskioideae,Pereskia,weberiana,K.Schum.,Absent,Mauseth & Landrum (1997)
Caryophyllaceae,Alsineae,Cerastium,semidecandrum,L.,Absent,Schweingruber et a. (2011); Mousa & Al-Jibouri (2019)
Caryophyllaceae,Alsineae,Stellaria,alsinoides,Boiss. & Buhse,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Stellaria,aquatica,L.,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Stellaria,graminea,L.,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Stellaria,persica,Boiss.,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Stellaria,media,(L.) Vill.,Absent,"Keshavarzi & Bozchaloyi (2014); Li et al., 2016"
Caryophyllaceae,Alsineae,Stellaria,pallida,(Dumort.) Crép.,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Stellaria,webbiana,(Benth. ex G.Don) Edgew. & Hook.f.,Absent,Chandra & Rawat (2016)
Caryophyllaceae,Alsineae,Mesostemma ,kotschyanum,(Fenzl ex Boiss.) Vved.,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Alsineae,Rabelera ,holostea ,(L.) M.T.Sharples & E.A. Tripp,Absent,Keshavarzi & Bozchaloyi (2014)
Caryophyllaceae,Arenareae,Arenaria,leptoclados,(Rchb.) Guss.,Absent,Mousa & Al-Jibouri (2019)
Caryophyllaceae,Caryophylleae,Acanthophyllum,borsczowii,Litv.,Absent,Mahmoodi Shamsabadi et al. (2013)
Caryophyllaceae,Caryophylleae,Acanthophyllum ,ejtehadii,Mahmoudi & Vaezi,Absent,Maleki Sadabadi et al. (2017)
Caryophyllaceae,Caryophylleae,Acanthophyllum ,sedifolia,(Kurz) Madhani & Zarre,Absent,Doležal et al. (2018)
Caryophyllaceae,Caryophylleae,Acanthophyllum ,sp.,,Absent,Carlquist (2001)
Caryophyllaceae,Caryophylleae,Dianthus ,cyprius ,A.K.Jacks. et Turrill,Absent,Crivellaro & Schweingruber (2013)
Caryophyllaceae,Caryophylleae,Dianthus ,sp.,,Absent,Carlquist (2001)
Caryophyllaceae,Caryophylleae,Gypsophila ,vaccaria,(L.) Sm.,Absent,Schweingruber et al. (2011)
Caryophyllaceae,Caryophylleae,Gypsophila ,osmangaziensis,Ataşlar & Ocak,Absent,Ataşlar & Ocak (2017)
Caryophyllaceae,Caryophylleae,Petrorhagia,nanteuilii,(Burnat) P.W.Ball & Heywood,Absent,Schweingruber et al. (2011)
Caryophyllaceae,Caryophylleae,Saponaria ,kotschyi ,Boiss.,Absent,Ataşlar (2004)
Caryophyllaceae,Caryophylleae,Saponaria ,glutinosa,M.Bieb.,Absent,Çalı and Cansaran (2021)
Caryophyllaceae,Caryophylleae,Saponaria,officinalis,L.,Absent,Schweingruber et al. (2011)
Caryophyllaceae,Caryophylleae,Jordania,confertiflora,(Hub.-Mor.) Rabeler & Madhani,Absent,Altay & Koç (2025)
Caryophyllaceae,Caryophylleae,Jordania,minuartioides ,(Jaub. & Spach) Boiss. & Heldr.,Absent,Altay & Koç (2025)
Caryophyllaceae,Caryophylleae,Jordania,turcica,(Koç & Hamzaoğlu) Rabeler & Madhani,Absent,Altay & Koç (2025)
Caryophyllaceae,Paronychieae,Gymnocarpos ,sclerocephalus,(Decne.) Ahlgren & Thulin,Absent,This study
Caryophyllaceae,Polycarpaeae,Polycarpaea ,gayi ,Webb,Absent,This study
Caryophyllaceae,Polycarpaeae,Polycarpaea ,nivea ,(Aiton) Webb,Absent,This study
Caryophyllaceae,Sagineae,Minuartia,rubra,(Scop.) McNeill,Absent,Schweingruber et al. (2011)
Caryophyllaceae,Sileneae,Silene,alexandrina,Danin,Absent,Crivellaro &  Schweingruber (2015)
Caryophyllaceae,Sileneae,Silene,caespitella,F.N.Williams,Absent,Doležal et al. (2018)
Caryophyllaceae,Sileneae,Silene,dioica,(L.) Clairv.,Absent,Schweingruber et al. (2011)
Caryophyllaceae,Sileneae,Silene,fruticosa,L.,Absent,Crivellaro & Schweingruber (2013)
Caryophyllaceae,Sileneae,Silene,galataea ,Boiss.,Absent,Crivellaro & Schweingruber (2013)
Caryophyllaceae,Spergularieae,Spergula,arvensis,L.,Absent,Timonin (2011)
Caryophyllaceae,Spergularieae,Spergularia,media,(L.) C.Presl.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Achyranthoids clade,Acroglochin ,persicarioides ,(Poir.) Moq.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Betoideae,Beta ,vulgaris,L.,Absent,Krumbiegel (1998); Metcalfe & Chalk (1950)
Chenopodiaceae s.str.,Betoideae,Beta ,trigyna ,Waldst. & Kit.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Camphorosmoideae,Bassia,laniflora,(S.G.Gmel.) A.J.Scott,Absent,Timonin (2011)
Chenopodiaceae s.str.,Camphorosmoideae,Bassia,prostrata,(L.) Beck,Absent,Timonin (2011)
Chenopodiaceae s.str.,Camphorosmoideae,Bassia,scoparia,(L.) A.J.Scott,Absent,Timonin (2011)
Chenopodiaceae s.str.,Camphorosmoideae,Bassia,tomentosa,(Lowe) Maire & Weiller,Absent,Schweingruber et al. (2011)
Chenopodiaceae s.str.,Camphorosmoideae,Camphorosma,annua,Pall.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Camphorosmoideae,Camphorosma ,monspeliaca,L.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Corispermoideae,Corispermum ,aralocaspicum,Iljin,Absent,Timonin (2011)
Chenopodiaceae s.str.,Corispermoideae,Corispermum ,canescens ,Kit. ex Schult.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Corispermoideae,Corispermum ,hyssopifolium,L.,Absent,Timonin (2011)
Chenopodiaceae s.str.,Camphorosmioideae,Grubovia,sedoides ,(Pall.) G.L.Chu,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Camphorosmioideae,Spirobassia,hirsuta,(L.) Freitag & G.Kadereit ,Absent,Wilson (1924); Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,schugnanica,Iljin,Absent,Doležal et al. (2018)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,dimorphostegia,Kar. & Kir.,Absent,Schweingruber et al. (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,glauca,L.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,halimus,L.,Absent,Fahn & Zimmermann (1982); Crivellaro & Schweingruber (2013)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,hortensis,L.,Absent,Metcalfe & Chalk (1950); Yarrow & Popham (1981)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,littoralis,L.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,portulacoides,L.,Absent,Wilson (1924); Metcalfe & Chalk (1950)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,patula,L.,Absent,Schweingruber et al. (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,prostrata,Boucher ex DC.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex ,semibaccata ,R.Br.,Absent,Crivellaro & Schweingruber (2013)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,sibirica,L.,Absent,Timonin (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Atriplex,tatarica,L.,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Axyris,amaranthoides,L.,Present,Timonin (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Blitum,capitatum,L.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Chenopodioideae ,Ceratocarpus,arenarius ,L.,Present,Timonin (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Chenopodiastrum,murale,"(L.) S.Fuentes, Uotila & Borsch",Present,"Abdullah et al., (2025)"
Chenopodiaceae s.str.,Chenopodioideae ,Chenopodium,album,L.,Absent,This study; Wilson (1924); Malekloo et al. (2010); Timonin (2011)
Chenopodiaceae s.str.,Chenopodioideae ,Chenopodium,foliosum,(Moench) Aschers.,Absent,Doležal et al. (2018)
Chenopodiaceae s.str.,Chenopodioideae ,Chenopodium,pamiricum ,Iljin,Absent,Doležal et al. (2018)
Chenopodiaceae s.str.,Chenopodioideae ,Chenopodium,quinoa,Willd.,Absent,Gomaa (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Dysphania,ambrosioides,(L.) Mosyakin & Clemants,Absent,Bonzani et al. (2003); Sá (2013)
Chenopodiaceae s.str.,Chenopodioideae ,Halimione ,portulacoides,(L.) Aellen,Absent,Wilson (1924); Metcalfe & Chalk (1950)
Chenopodiaceae s.str.,Chenopodioideae ,Halimione ,verrucifera,(M.Bieb.) Aellen,Absent,Grigore et al. (2014)
Chenopodiaceae s.str.,Chenopodioideae ,Oxybasis,glauca,"(L.) S.Fuentes, Uotila & Borsch",Absent,Wilson (1924)
Chenopodiaceae s.str.,Chenopodioideae ,Spinacia,oleracea,L.,Absent,Wilson (1924)
Chenopodiaceae s.str.,Salicornioideae,Allenrolfea ,patagonica,(Moq.) Kuntze,Absent,Cuadra & Hermann (2014)
Chenopodiaceae s.str.,Salicornioideae,Arthrocaulon,macrostachyum,(Moric.) Piirainen & G.Kadereit ,Absent,Grigore et al. (2014); Crivellaro & Schweingruber (2013)
